Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TimeTakenToSleep
8378563200,10-05-2016,1,342,391,49
6117666160,08-05-2016,1,555,603,48
6117666160,23-04-2016,1,492,539,47
1503960366,25-04-2016,1,277,323,46
2347167796,17-04-2016,1,556,602,46
4702921684,03-05-2016,1,327,373,46
4702921684,06-05-2016,1,404,449,45
5553957443,29-04-2016,1,450,495,45
5553957443,05-05-2016,1,419,464,45
5577150313,11-05-2016,1,431,476,45
2347167796,14-04-2016,1,445,489,44
5553957443,27-04-2016,1,347,391,44
2026352035,12-04-2016,1,503,546,43
2026352035,16-04-2016,1,524,567,43
4388161847,24-04-2016,3,552,595,43
2026352035,19-04-2016,1,498,540,42
2347167796,28-04-2016,1,408,450,42
4445114986,15-04-2016,2,337,379,42
4445114986,27-04-2016,1,332,374,42
6117666160,21-04-2016,1,508,550,42
4319703577,06-05-2016,1,450,491,41
5553957443,26-04-2016,1,412,453,41
5553957443,09-05-2016,1,453,494,41
4020332650,12-04-2016,1,501,541,40
4445114986,02-05-2016,1,502,542,40
5553957443,08-05-2016,1,568,608,40
5577150313,25-04-2016,1,421,461,40
6117666160,06-05-2016,2,658,698,40
8378563200,13-04-2016,2,447,487,40
8378563200,09-05-2016,1,359,399,40
1503960366,21-04-2016,1,325,364,39
5577150313,16-04-2016,1,406,445,39
2347167796,25-04-2016,1,433,471,38
4020332650,08-05-2016,1,364,402,38
4319703577,03-05-2016,1,474,512,38
4445114986,26-04-2016,2,353,391,38
4702921684,12-05-2016,1,404,442,38
2026352035,21-04-2016,1,477,514,37
2026352035,27-04-2016,1,508,545,37
4319703577,19-04-2016,2,461,498,37
4445114986,16-04-2016,1,462,499,37
5553957443,12-05-2016,1,438,475,37
2026352035,24-04-2016,1,555,591,36
4319703577,18-04-2016,1,515,551,36
4319703577,08-05-2016,1,602,638,36
4445114986,13-04-2016,2,370,406,36
4445114986,19-04-2016,2,388,424,36
5553957443,28-04-2016,1,421,457,36
6117666160,29-04-2016,1,600,636,36
6962181067,07-05-2016,1,298,334,36
8378563200,04-05-2016,1,441,477,36
8378563200,05-05-2016,1,381,417,36
4445114986,07-05-2016,2,401,436,35
5553957443,16-04-2016,2,651,686,35
5553957443,25-04-2016,1,433,468,35
5577150313,03-05-2016,1,508,543,35
8378563200,29-04-2016,1,527,562,35
8792009665,12-04-2016,1,458,493,35
2026352035,13-04-2016,1,531,565,34
2026352035,30-04-2016,1,573,607,34
4319703577,24-04-2016,1,467,501,34
5553957443,06-05-2016,1,400,434,34
5577150313,17-04-2016,1,549,583,34
8378563200,19-04-2016,1,387,421,34
8378563200,24-04-2016,1,458,492,34
8378563200,26-04-2016,1,550,584,34
8378563200,02-05-2016,1,351,385,34
1503960366,06-05-2016,1,334,367,33
4445114986,21-04-2016,1,436,469,33
4445114986,03-05-2016,2,417,450,33
5553957443,13-04-2016,2,455,488,33
5577150313,20-04-2016,1,447,480,33
1503960366,02-05-2016,1,277,309,32
2026352035,23-04-2016,1,522,554,32
2026352035,28-04-2016,1,513,545,32
2026352035,02-05-2016,1,511,543,32
5553957443,15-04-2016,1,377,409,32
5553957443,21-04-2016,1,399,431,32
8378563200,06-05-2016,1,323,355,32
4445114986,30-04-2016,1,322,353,31
4445114986,11-05-2016,1,499,530,31
4702921684,14-04-2016,1,384,415,31
5553957443,22-04-2016,1,322,353,31
5577150313,04-05-2016,1,603,634,31
8378563200,14-04-2016,1,424,455,31
1503960366,15-04-2016,1,412,442,30
2026352035,11-05-2016,1,523,553,30
4319703577,23-04-2016,1,692,722,30
4319703577,09-05-2016,1,535,565,30
4319703577,10-05-2016,1,487,517,30
4388161847,20-04-2016,1,421,451,30
4388161847,28-04-2016,1,428,458,30
4445114986,08-05-2016,1,361,391,30
4702921684,13-04-2016,2,400,430,30
4702921684,19-04-2016,1,457,487,30
6117666160,09-05-2016,1,492,522,30
1503960366,26-04-2016,1,245,274,29
2026352035,12-05-2016,1,456,485,29
4319703577,11-05-2016,1,529,558,29
4445114986,22-04-2016,1,388,417,29
7086361926,08-05-2016,1,481,510,29
8792009665,03-05-2016,1,516,545,29
4319703577,02-05-2016,1,478,506,28
4445114986,12-04-2016,2,429,457,28
4445114986,06-05-2016,2,374,402,28
5553957443,07-05-2016,1,442,470,28
5577150313,22-04-2016,1,338,366,28
5577150313,27-04-2016,1,424,452,28
5577150313,02-05-2016,2,525,553,28
6117666160,20-04-2016,1,474,502,28
6962181067,08-05-2016,1,541,569,28
6962181067,11-05-2016,1,452,480,28
8378563200,20-04-2016,1,381,409,28
8378563200,22-04-2016,1,441,469,28
1503960366,16-04-2016,2,340,367,27
1503960366,28-04-2016,1,366,393,27
1503960366,01-05-2016,1,369,396,27
2026352035,08-05-2016,1,541,568,27
4388161847,15-04-2016,1,499,526,27
4388161847,26-04-2016,1,319,346,27
6117666160,19-04-2016,1,465,492,27
6962181067,14-04-2016,2,508,535,27
4319703577,15-04-2016,1,465,491,26
4319703577,30-04-2016,1,490,516,26
4445114986,04-05-2016,2,337,363,26
4702921684,24-04-2016,1,480,506,26
5577150313,13-04-2016,1,432,458,26
5577150313,18-04-2016,1,527,553,26
5577150313,29-04-2016,1,459,485,26
8378563200,23-04-2016,1,565,591,26
1927972279,12-04-2016,3,750,775,25
2026352035,22-04-2016,1,520,545,25
2026352035,25-04-2016,1,506,531,25
2026352035,09-05-2016,1,531,556,25
4319703577,28-04-2016,1,497,522,25
4388161847,11-05-2016,1,469,494,25
5553957443,10-05-2016,1,418,443,25
6775888955,13-04-2016,1,235,260,25
1927972279,13-04-2016,1,398,422,24
1927972279,15-04-2016,2,475,499,24
2026352035,06-05-2016,1,524,548,24
2347167796,21-04-2016,1,460,484,24
4388161847,04-05-2016,1,390,414,24
4388161847,05-05-2016,1,471,495,24
4388161847,05-05-2016,1,471,495,24
4388161847,07-05-2016,1,472,496,24
4702921684,16-04-2016,2,382,406,24
6962181067,03-05-2016,1,394,418,24
6962181067,05-05-2016,1,467,491,24
8378563200,03-05-2016,1,405,429,24
8792009665,01-05-2016,1,503,527,24
8792009665,04-05-2016,1,439,463,24
1503960366,13-04-2016,2,384,407,23
1503960366,23-04-2016,1,361,384,23
1503960366,03-05-2016,1,273,296,23
2026352035,14-04-2016,1,545,568,23
2026352035,10-05-2016,1,357,380,23
4020332650,06-05-2016,1,385,408,23
4319703577,29-04-2016,1,523,546,23
4319703577,07-05-2016,1,507,530,23
4388161847,23-04-2016,1,478,501,23
4445114986,20-04-2016,1,439,462,23
4445114986,28-04-2016,1,419,442,23
4702921684,07-05-2016,1,520,543,23
4702921684,07-05-2016,1,520,543,23
4702921684,09-05-2016,1,435,458,23
5553957443,12-04-2016,1,441,464,23
5553957443,04-05-2016,1,447,470,23
5553957443,11-05-2016,1,463,486,23
5577150313,21-04-2016,1,414,437,23
5577150313,26-04-2016,1,354,377,23
6117666160,28-04-2016,1,393,416,23
6117666160,05-05-2016,1,392,415,23
7086361926,24-04-2016,1,681,704,23
2026352035,04-05-2016,1,538,560,22
4020332650,05-05-2016,1,226,248,22
4319703577,14-04-2016,1,535,557,22
4388161847,16-04-2016,2,426,448,22
4388161847,17-04-2016,2,619,641,22
4702921684,30-04-2016,1,479,501,22
4702921684,04-05-2016,1,412,434,22
1503960366,30-04-2016,1,404,425,21
1503960366,11-05-2016,1,285,306,21
4319703577,27-04-2016,1,286,307,21
4388161847,30-04-2016,2,409,430,21
4388161847,10-05-2016,1,354,375,21
4445114986,10-05-2016,1,405,426,21
4702921684,17-04-2016,1,591,612,21
5553957443,18-04-2016,2,520,541,21
5577150313,15-04-2016,1,392,413,21
5577150313,30-04-2016,1,412,433,21
6962181067,12-04-2016,1,366,387,21
7086361926,21-04-2016,1,390,411,21
8378563200,21-04-2016,1,396,417,21
8792009665,13-04-2016,1,531,552,21
8792009665,23-04-2016,1,339,360,21
1503960366,10-05-2016,1,383,403,20
2026352035,29-04-2016,1,490,510,20
4319703577,20-04-2016,1,523,543,20
4445114986,01-05-2016,2,439,459,20
5553957443,20-04-2016,1,658,678,20
5577150313,14-04-2016,1,477,497,20
7086361926,22-04-2016,1,428,448,20
8378563200,15-04-2016,1,513,533,20
1503960366,12-04-2016,1,327,346,19
1503960366,24-04-2016,1,430,449,19
1927972279,26-04-2016,1,296,315,19
2026352035,01-05-2016,1,527,546,19
4319703577,12-05-2016,1,302,321,19
4702921684,18-04-2016,1,293,312,19
4702921684,28-04-2016,1,442,461,19
5577150313,12-04-2016,1,419,438,19
5577150313,01-05-2016,1,379,398,19
6962181067,17-04-2016,1,427,446,19
6962181067,06-05-2016,1,443,462,19
6962181067,12-05-2016,1,516,535,19
7086361926,01-05-2016,1,388,407,19
7086361926,02-05-2016,1,440,459,19
8378563200,11-05-2016,1,368,387,19
8792009665,20-04-2016,1,528,547,19
1503960366,07-05-2016,1,331,349,18
1644430081,30-04-2016,1,124,142,18
4319703577,25-04-2016,1,488,506,18
4445114986,12-05-2016,1,483,501,18
4558609924,26-04-2016,1,103,121,18
5577150313,23-04-2016,1,384,402,18
6117666160,16-04-2016,1,380,398,18
6775888955,14-04-2016,1,423,441,18
6962181067,23-04-2016,1,528,546,18
7086361926,07-05-2016,1,530,548,18
8378563200,12-04-2016,1,338,356,18
1503960366,20-04-2016,1,360,377,17
1503960366,05-05-2016,1,247,264,17
1503960366,08-05-2016,1,594,611,17
1644430081,08-05-2016,1,137,154,17
2026352035,05-05-2016,1,468,485,17
2347167796,24-04-2016,1,442,459,17
4319703577,22-04-2016,1,533,550,17
4445114986,25-04-2016,1,328,345,17
4702921684,27-04-2016,1,432,449,17
6117666160,18-04-2016,2,493,510,17
8792009665,14-04-2016,1,486,503,17
8792009665,30-04-2016,1,343,360,17
1503960366,19-04-2016,1,304,320,16
4319703577,16-04-2016,1,506,522,16
4319703577,01-05-2016,1,484,500,16
4388161847,21-04-2016,1,442,458,16
5577150313,19-04-2016,1,449,465,16
6962181067,15-04-2016,1,370,386,16
6962181067,18-04-2016,1,442,458,16
6962181067,02-05-2016,1,466,482,16
7086361926,04-05-2016,1,420,436,16
8792009665,22-04-2016,1,391,407,16
4702921684,10-05-2016,1,416,431,15
6117666160,27-04-2016,1,542,557,15
6775888955,15-04-2016,1,391,406,15
6962181067,25-04-2016,1,400,415,15
6962181067,01-05-2016,1,411,426,15
7086361926,26-04-2016,1,485,500,15
4558609924,01-05-2016,1,115,129,14
4702921684,12-04-2016,1,425,439,14
4702921684,20-04-2016,1,454,468,14
4702921684,29-04-2016,1,433,447,14
4702921684,05-05-2016,1,414,428,14
6117666160,17-04-2016,2,336,350,14
6117666160,24-04-2016,1,353,367,14
6962181067,29-04-2016,1,433,447,14
7086361926,13-04-2016,1,451,465,14
8378563200,25-04-2016,1,388,402,14
8378563200,25-04-2016,1,388,402,14
8792009665,15-04-2016,1,363,377,14
8792009665,28-04-2016,1,402,416,14
1503960366,29-04-2016,1,341,354,13
6962181067,28-04-2016,1,440,453,13
6962181067,04-05-2016,1,442,455,13
7086361926,28-04-2016,1,354,367,13
7086361926,12-05-2016,1,444,457,13
1503960366,17-04-2016,1,700,712,12
1927972279,28-04-2016,1,166,178,12
2347167796,23-04-2016,1,374,386,12
4388161847,08-05-2016,2,529,541,12
4702921684,11-05-2016,1,354,366,12
6962181067,27-04-2016,1,455,467,12
6962181067,10-05-2016,1,469,481,12
7086361926,11-05-2016,1,451,463,12
4319703577,26-04-2016,1,505,516,11
4558609924,21-04-2016,1,126,137,11
4558609924,08-05-2016,1,123,134,11
5577150313,28-04-2016,1,361,372,11
7086361926,12-04-2016,1,514,525,11
7086361926,19-04-2016,1,472,483,11
7086361926,06-05-2016,1,322,333,11
7086361926,09-05-2016,1,427,438,11
2026352035,07-05-2016,1,511,521,10
4020332650,03-05-2016,1,322,332,10
4702921684,23-04-2016,1,465,475,10
4702921684,25-04-2016,1,370,380,10
6962181067,22-04-2016,1,425,435,10
7086361926,20-04-2016,1,492,502,10
7086361926,27-04-2016,1,469,479,10
4388161847,19-04-2016,1,329,338,9
4445114986,17-04-2016,1,98,107,9
4702921684,21-04-2016,1,425,434,9
6117666160,07-05-2016,2,498,507,9
6962181067,16-04-2016,1,357,366,9
7086361926,15-04-2016,1,377,386,9
1644430081,29-04-2016,1,119,127,8
2320127002,23-04-2016,1,61,69,8
4388161847,02-05-2016,2,368,376,8
4558609924,29-04-2016,1,171,179,8
4702921684,26-04-2016,1,421,429,8
6962181067,09-05-2016,1,489,497,8
8792009665,29-04-2016,1,398,406,8
8792009665,02-05-2016,1,415,423,8
8053475328,20-04-2016,1,486,493,7
4319703577,21-04-2016,1,59,65,6
6962181067,20-04-2016,1,418,424,6
6962181067,21-04-2016,1,451,457,6
8053475328,23-04-2016,1,331,337,6
4388161847,18-04-2016,1,99,104,5
6962181067,26-04-2016,1,441,446,5
7086361926,03-05-2016,1,456,461,5
8792009665,27-04-2016,1,423,428,5
1503960366,09-05-2016,1,338,342,4
4702921684,15-04-2016,1,253,257,4
5577150313,05-05-2016,1,74,78,4
7086361926,14-04-2016,1,472,476,4
7086361926,30-04-2016,1,485,489,4
4388161847,22-04-2016,1,82,85,3
4388161847,09-05-2016,1,62,65,3
6962181067,24-04-2016,1,511,514,3
7007744171,16-04-2016,1,79,82,3
7007744171,01-05-2016,1,58,61,3
4445114986,29-04-2016,1,106,108,2
6962181067,30-04-2016,1,422,424,2
7086361926,25-04-2016,1,446,447,1
8053475328,07-05-2016,1,74,75,1
4020332650,16-04-2016,1,77,77,0
